課名,開課序號,教師名稱,時間地點,
能源與動力 </br>[ 學分學程：太陽能源與工程學程 ],1205,程金保,二 2-4 本部 科技系TB211,
統計學,1206,張敬珣,五 2-4 本部 科技系TB211,
專業實習,3281,林弘昌 蕭顯勝 陳怡靜 張敬珣 孫弘岳,一 2-5 本部 科技系TB211,
人力資源資訊系統,1207,孫弘岳,一 7-9 本部 科技系TB212,
薪酬設計與績效管理,1208,孫弘岳,二 7-9 本部 科技系TB212,
工業科技教育概論,1209,林坤誼 蔡其瑞,四 3-4 本部 綜509國際會議廳,
基本設計,1210,簡佑宏,二 7-9 本部 科技系TB310,
電子電路 </br>[ 學分學程：太陽能源與工程學程 ],1211,丁玉良,四 7-9 本部 科技系TC411,
人力資源發展概論 </br>[ 學分學程：社團領導學程 ],1212,孫弘岳,三 7-9 本部 科技系TB311,
計算機概論,1213,許庭嘉,四 7-9 本部 科技系TA509,
電腦影像處理 </br>[ 學分學程：科技藝術學程 ],1214,張玉山,三 7-9 本部 教402,
機械製造,1215,蔡其瑞,四 6-9 本部 科技系TB310,
木工製造,1216,林弘昌,二 1-4 本部 科技系TC501,
作業系統,1217,李啟龍,一 A-C 本部 科技系TB213,
工業安全與衛生,1218,林弘昌,一 2-4 本部 科技系TC501,
網際網路概論,1219,蔡芸琤,二 2-4 本部 科技系TA509,
色彩學,1220,耿剛,三 6-8 本部 科技系TB213,
電腦輔助製圖,1221,蔡其瑞,一 7-9 本部 科技系TA509,
訓練需求與成效評估,1222,陳怡靜,二 6-8 本部 科技系TB211,
程式語言,1223,蔡芸琤,四 2-4 本部 科技系TB311,
展示設計,1224,耿剛,二 6-8 本部 科技系TB213,
機構設計,1225,汪殿杰 蔡其瑞,三 10-B 本部 科技系TC504,
多媒體教材設計與製作,1226,丁玉良,五 7-9 本部 科技系TC411,
金屬產品設計與製作 </br>[ 學分學程：室內設計學程 ],1227,吳宗曄,五 2-4 本部 科技系TB310,
資料庫系統,1228,蕭顯勝,五 2-4 本部 科技系TA509,
電腦網路原理與實作,1229,吳姈蓉,四 10-B 本部 科技系TB311,
產品設計 </br>[ 學分學程：理工實作學程 ],1230,簡佑宏,四 2-4 本部 科技系TB310,
生活科技科教學實習（一）（教）,1231,張玉山,一 7-10 本部 科技系TD301,
產品分析與企劃,1232,張敬珣,四 2-4 本部 科技系TB213,
虛擬實境設計 </br>[ 學分學程：科技藝術學程 數位人文與藝術學程 ],1233,張敏捷,一 A-C 本部 教401,
專題製作（二） </br>[ 學分學程：理工實作學程 ],1234,林坤誼 陳怡靜 張敬珣,五 C-D 本部 科技系TC504,
專題製作（二） </br>[ 學分學程：理工實作學程 ],1235,蕭顯勝,五 C-D 本部 科技系TB212,
專題製作（二） </br>[ 學分學程：理工實作學程 ],1236,丁玉良,五 C-D 本部 科技系TC411,
專題製作（二） </br>[ 學分學程：理工實作學程 ],1237,簡佑宏,五 C-D 本部 科技系TB310,
專題製作（二） </br>[ 學分學程：理工實作學程 ],1238,許庭嘉,五 C-D 本部 科技系TB312,
電腦輔助設計與製造,1239,洪嘉駿 支裕文,一 10-B 本部 科技系TA509,
